province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Unknown,United Kingdom,2021-12-29,,,,0,0,,,,,"Unknown, United Kingdom"
Channel Islands,United Kingdom,2021-12-29,49.3723,-2.3644,POINT(-2.3644 49.3723),25998,113,,,,,"Channel Islands, United Kingdom"
Montserrat,United Kingdom,2021-12-29,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),45,1,,,,,"Montserrat, United Kingdom"
Bermuda,United Kingdom,2021-12-29,32.3078,-64.7505,POINT(-64.7505 32.3078),6064,106,,,,,"Bermuda, United Kingdom"
Gibraltar,United Kingdom,2021-12-29,36.1408,-5.3536,POINT(-5.3536 36.1408),8421,100,,,,,"Gibraltar, United Kingdom"
Cayman Islands,United Kingdom,2021-12-29,19.3133,-81.2546,POINT(-81.2546 19.3133),8386,11,,,,,"Cayman Islands, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-12-29,-51.7963,-59.5236,POINT(-59.5236 -51.7963),83,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Northern Ireland,United Kingdom,2021-12-29,54.7877,-6.4923,POINT(-6.4923 54.7877),390153,2976,,,,,"Northern Ireland, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-12-29,21.69400000000001,-71.7979,POINT(-71.7979 21.694),3283,26,,,,,"Turks and Caicos Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-12-29,18.4207,-64.64,POINT(-64.64 18.4207),3071,39,,,,,"British Virgin Islands, United Kingdom"
Isle of Man,United Kingdom,2021-12-29,54.2361,-4.5481,POINT(-4.5481 54.2361),13487,67,,,,,"Isle of Man, United Kingdom"
British Virgin Islands,United Kingdom,2021-12-28,18.4207,-64.64,POINT(-64.64 18.4207),3071,39,,,,,"British Virgin Islands, United Kingdom"
Unknown,United Kingdom,2021-12-28,,,,0,0,,,,,"Unknown, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-12-28,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
