province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Wales,United Kingdom,2021-09-20,52.1307,-3.7837,POINT(-3.7837 52.1307),328074,5814,,,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-09-20,,,,0,0,,,,,"Unknown, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-20,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2805,22,,,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-09-20,56.4907,-4.2026,POINT(-4.2026 56.4907),535955,8378,,,,,"Scotland, United Kingdom"
Gibraltar,United Kingdom,2021-09-20,36.1408,-5.3536,POINT(-5.3536 36.1408),5479,97,,,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-20,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-09-20,52.3555,-1.1743,POINT(-1.1743 52.3555),6374123,118551,,,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-09-20,49.3723,-2.3644,POINT(-2.3644 49.3723),11335,97,,,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-09-20,19.3133,-81.2546,POINT(-81.2546 19.3133),774,2,,,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-09-20,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-09-20,32.3078,-64.7505,POINT(-64.7505 32.3078),4632,43,,,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-09-20,18.2206,-63.0686,POINT(-63.0686 18.2206),331,0,,,,,"Anguilla, United Kingdom"
Isle of Man,United Kingdom,2021-09-20,54.2361,-4.5481,POINT(-4.5481 54.2361),7184,38,,,,,"Isle of Man, United Kingdom"
Northern Ireland,United Kingdom,2021-09-20,54.7877,-6.4923,POINT(-6.4923 54.7877),227296,2509,,,,,"Northern Ireland, United Kingdom"
Channel Islands,United Kingdom,2021-09-19,49.3723,-2.3644,POINT(-2.3644 49.3723),11269,97,,,,,"Channel Islands, United Kingdom"
Wales,United Kingdom,2021-09-19,52.1307,-3.7837,POINT(-3.7837 52.1307),322816,5797,,,,,"Wales, United Kingdom"
Gibraltar,United Kingdom,2021-09-19,36.1408,-5.3536,POINT(-5.3536 36.1408),5477,97,,,,,"Gibraltar, United Kingdom"
Bermuda,United Kingdom,2021-09-19,32.3078,-64.7505,POINT(-64.7505 32.3078),4477,42,,,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-09-19,18.2206,-63.0686,POINT(-63.0686 18.2206),331,0,,,,,"Anguilla, United Kingdom"
Unknown,United Kingdom,2021-09-19,,,,0,0,,,,,"Unknown, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-09-19,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-19,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2805,22,,,,,"Turks and Caicos Islands, United Kingdom"
Northern Ireland,United Kingdom,2021-09-19,54.7877,-6.4923,POINT(-6.4923 54.7877),226276,2504,,,,,"Northern Ireland, United Kingdom"
Montserrat,United Kingdom,2021-09-19,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),33,1,,,,,"Montserrat, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-19,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-09-19,52.3555,-1.1743,POINT(-1.1743 52.3555),6347616,118524,,,,,"England, United Kingdom"
British Virgin Islands,United Kingdom,2021-09-19,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Scotland,United Kingdom,2021-09-19,56.4907,-4.2026,POINT(-4.2026 56.4907),533038,8378,,,,,"Scotland, United Kingdom"
Isle of Man,United Kingdom,2021-09-19,54.2361,-4.5481,POINT(-4.5481 54.2361),7166,38,,,,,"Isle of Man, United Kingdom"
Cayman Islands,United Kingdom,2021-09-19,19.3133,-81.2546,POINT(-81.2546 19.3133),774,2,,,,,"Cayman Islands, United Kingdom"
Montserrat,United Kingdom,2021-09-18,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),32,1,,,,,"Montserrat, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-18,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2800,21,,,,,"Turks and Caicos Islands, United Kingdom"
Bermuda,United Kingdom,2021-09-18,32.3078,-64.7505,POINT(-64.7505 32.3078),4218,38,,,,,"Bermuda, United Kingdom"
Unknown,United Kingdom,2021-09-18,,,,0,0,,,,,"Unknown, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-18,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Gibraltar,United Kingdom,2021-09-18,36.1408,-5.3536,POINT(-5.3536 36.1408),5476,97,,,,,"Gibraltar, United Kingdom"
Wales,United Kingdom,2021-09-18,52.1307,-3.7837,POINT(-3.7837 52.1307),320099,5782,,,,,"Wales, United Kingdom"
Scotland,United Kingdom,2021-09-18,56.4907,-4.2026,POINT(-4.2026 56.4907),529207,8376,,,,,"Scotland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-09-18,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-09-18,54.7877,-6.4923,POINT(-6.4923 54.7877),225387,2499,,,,,"Northern Ireland, United Kingdom"
Isle of Man,United Kingdom,2021-09-18,54.2361,-4.5481,POINT(-4.5481 54.2361),7141,38,,,,,"Isle of Man, United Kingdom"
England,United Kingdom,2021-09-18,52.3555,-1.1743,POINT(-1.1743 52.3555),6326046,118490,,,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-09-18,49.3723,-2.3644,POINT(-2.3644 49.3723),11269,97,,,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-09-18,19.3133,-81.2546,POINT(-81.2546 19.3133),774,2,,,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-09-18,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Anguilla,United Kingdom,2021-09-18,18.2206,-63.0686,POINT(-63.0686 18.2206),331,0,,,,,"Anguilla, United Kingdom"
Scotland,United Kingdom,2021-09-17,56.4907,-4.2026,POINT(-4.2026 56.4907),523095,8349,,,,,"Scotland, United Kingdom"
Isle of Man,United Kingdom,2021-09-17,54.2361,-4.5481,POINT(-4.5481 54.2361),7113,38,,,,,"Isle of Man, United Kingdom"
Montserrat,United Kingdom,2021-09-17,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),32,1,,,,,"Montserrat, United Kingdom"
Gibraltar,United Kingdom,2021-09-17,36.1408,-5.3536,POINT(-5.3536 36.1408),5469,97,,,,,"Gibraltar, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-17,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2799,21,,,,,"Turks and Caicos Islands, United Kingdom"
Channel Islands,United Kingdom,2021-09-17,49.3723,-2.3644,POINT(-2.3644 49.3723),11269,97,,,,,"Channel Islands, United Kingdom"
Bermuda,United Kingdom,2021-09-17,32.3078,-64.7505,POINT(-64.7505 32.3078),4218,38,,,,,"Bermuda, United Kingdom"
Cayman Islands,United Kingdom,2021-09-17,19.3133,-81.2546,POINT(-81.2546 19.3133),772,2,,,,,"Cayman Islands, United Kingdom"
England,United Kingdom,2021-09-17,52.3555,-1.1743,POINT(-1.1743 52.3555),6303792,118359,,,,,"England, United Kingdom"
British Virgin Islands,United Kingdom,2021-09-17,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Anguilla,United Kingdom,2021-09-17,18.2206,-63.0686,POINT(-63.0686 18.2206),331,0,,,,,"Anguilla, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-09-17,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Wales,United Kingdom,2021-09-17,52.1307,-3.7837,POINT(-3.7837 52.1307),320099,5782,,,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-09-17,,,,0,0,,,,,"Unknown, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-17,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Northern Ireland,United Kingdom,2021-09-17,54.7877,-6.4923,POINT(-6.4923 54.7877),224315,2493,,,,,"Northern Ireland, United Kingdom"
Northern Ireland,United Kingdom,2021-09-16,54.7877,-6.4923,POINT(-6.4923 54.7877),223076,2483,,,,,"Northern Ireland, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-16,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2794,21,,,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-09-16,56.4907,-4.2026,POINT(-4.2026 56.4907),517216,8319,,,,,"Scotland, United Kingdom"
Unknown,United Kingdom,2021-09-16,,,,0,0,,,,,"Unknown, United Kingdom"
Wales,United Kingdom,2021-09-16,52.1307,-3.7837,POINT(-3.7837 52.1307),317481,5774,,,,,"Wales, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-09-16,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Montserrat,United Kingdom,2021-09-16,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),31,1,,,,,"Montserrat, United Kingdom"
Isle of Man,United Kingdom,2021-09-16,54.2361,-4.5481,POINT(-4.5481 54.2361),7094,38,,,,,"Isle of Man, United Kingdom"
England,United Kingdom,2021-09-16,52.3555,-1.1743,POINT(-1.1743 52.3555),6281236,118229,,,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-09-16,49.3723,-2.3644,POINT(-2.3644 49.3723),11223,96,,,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-09-16,19.3133,-81.2546,POINT(-81.2546 19.3133),772,2,,,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-09-16,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-09-16,32.3078,-64.7505,POINT(-64.7505 32.3078),4027,37,,,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-09-16,18.2206,-63.0686,POINT(-63.0686 18.2206),325,0,,,,,"Anguilla, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-16,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Gibraltar,United Kingdom,2021-09-16,36.1408,-5.3536,POINT(-5.3536 36.1408),5463,97,,,,,"Gibraltar, United Kingdom"
England,United Kingdom,2021-09-15,52.3555,-1.1743,POINT(-1.1743 52.3555),6258872,118106,,,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-09-15,49.3723,-2.3644,POINT(-2.3644 49.3723),11174,96,,,,,"Channel Islands, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-15,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2774,21,,,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-09-15,56.4907,-4.2026,POINT(-4.2026 56.4907),517216,8293,,,,,"Scotland, United Kingdom"
Isle of Man,United Kingdom,2021-09-15,54.2361,-4.5481,POINT(-4.5481 54.2361),7068,38,,,,,"Isle of Man, United Kingdom"
Cayman Islands,United Kingdom,2021-09-15,19.3133,-81.2546,POINT(-81.2546 19.3133),745,2,,,,,"Cayman Islands, United Kingdom"
Anguilla,United Kingdom,2021-09-15,18.2206,-63.0686,POINT(-63.0686 18.2206),318,0,,,,,"Anguilla, United Kingdom"
Bermuda,United Kingdom,2021-09-15,32.3078,-64.7505,POINT(-64.7505 32.3078),3877,36,,,,,"Bermuda, United Kingdom"
Unknown,United Kingdom,2021-09-15,,,,0,0,,,,,"Unknown, United Kingdom"
Wales,United Kingdom,2021-09-15,52.1307,-3.7837,POINT(-3.7837 52.1307),314590,5770,,,,,"Wales, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-09-15,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-09-15,54.7877,-6.4923,POINT(-6.4923 54.7877),222005,2478,,,,,"Northern Ireland, United Kingdom"
Gibraltar,United Kingdom,2021-09-15,36.1408,-5.3536,POINT(-5.3536 36.1408),5449,97,,,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-15,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
British Virgin Islands,United Kingdom,2021-09-15,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Montserrat,United Kingdom,2021-09-15,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),31,1,,,,,"Montserrat, United Kingdom"
Wales,United Kingdom,2021-09-14,52.1307,-3.7837,POINT(-3.7837 52.1307),312292,5760,,,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-09-14,,,,0,0,,,,,"Unknown, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-14,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2774,21,,,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-09-14,56.4907,-4.2026,POINT(-4.2026 56.4907),512312,8263,,,,,"Scotland, United Kingdom"
Channel Islands,United Kingdom,2021-09-14,49.3723,-2.3644,POINT(-2.3644 49.3723),11168,96,,,,,"Channel Islands, United Kingdom"
Northern Ireland,United Kingdom,2021-09-14,54.7877,-6.4923,POINT(-6.4923 54.7877),220701,2468,,,,,"Northern Ireland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-09-14,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Isle of Man,United Kingdom,2021-09-14,54.2361,-4.5481,POINT(-4.5481 54.2361),7050,38,,,,,"Isle of Man, United Kingdom"
Gibraltar,United Kingdom,2021-09-14,36.1408,-5.3536,POINT(-5.3536 36.1408),5445,97,,,,,"Gibraltar, United Kingdom"
England,United Kingdom,2021-09-14,52.3555,-1.1743,POINT(-1.1743 52.3555),6237505,117955,,,,,"England, United Kingdom"
Cayman Islands,United Kingdom,2021-09-14,19.3133,-81.2546,POINT(-81.2546 19.3133),745,2,,,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-09-14,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-09-14,32.3078,-64.7505,POINT(-64.7505 32.3078),3877,36,,,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-09-14,18.2206,-63.0686,POINT(-63.0686 18.2206),318,0,,,,,"Anguilla, United Kingdom"
Montserrat,United Kingdom,2021-09-14,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),31,1,,,,,"Montserrat, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-14,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Unknown,United Kingdom,2021-09-13,,,,0,0,,,,,"Unknown, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-13,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2758,20,,,,,"Turks and Caicos Islands, United Kingdom"
Scotland,United Kingdom,2021-09-13,56.4907,-4.2026,POINT(-4.2026 56.4907),508882,8242,,,,,"Scotland, United Kingdom"
Northern Ireland,United Kingdom,2021-09-13,54.7877,-6.4923,POINT(-6.4923 54.7877),219111,2461,,,,,"Northern Ireland, United Kingdom"
Montserrat,United Kingdom,2021-09-13,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),31,1,,,,,"Montserrat, United Kingdom"
Isle of Man,United Kingdom,2021-09-13,54.2361,-4.5481,POINT(-4.5481 54.2361),7028,38,,,,,"Isle of Man, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-13,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-09-13,52.3555,-1.1743,POINT(-1.1743 52.3555),6218198,117803,,,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-09-13,49.3723,-2.3644,POINT(-2.3644 49.3723),11131,96,,,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-09-13,19.3133,-81.2546,POINT(-81.2546 19.3133),729,2,,,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-09-13,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-09-13,32.3078,-64.7505,POINT(-64.7505 32.3078),3465,35,,,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-09-13,18.2206,-63.0686,POINT(-63.0686 18.2206),318,0,,,,,"Anguilla, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-09-13,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Wales,United Kingdom,2021-09-13,52.1307,-3.7837,POINT(-3.7837 52.1307),310368,5755,,,,,"Wales, United Kingdom"
Gibraltar,United Kingdom,2021-09-13,36.1408,-5.3536,POINT(-5.3536 36.1408),5436,97,,,,,"Gibraltar, United Kingdom"
Unknown,United Kingdom,2021-09-12,,,,0,0,,,,,"Unknown, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-12,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2758,20,,,,,"Turks and Caicos Islands, United Kingdom"
Wales,United Kingdom,2021-09-12,52.1307,-3.7837,POINT(-3.7837 52.1307),306060,5734,,,,,"Wales, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-09-12,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-12,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Cayman Islands,United Kingdom,2021-09-12,19.3133,-81.2546,POINT(-81.2546 19.3133),729,2,,,,,"Cayman Islands, United Kingdom"
Gibraltar,United Kingdom,2021-09-12,36.1408,-5.3536,POINT(-5.3536 36.1408),5431,97,,,,,"Gibraltar, United Kingdom"
Scotland,United Kingdom,2021-09-12,56.4907,-4.2026,POINT(-4.2026 56.4907),504650,8242,,,,,"Scotland, United Kingdom"
Northern Ireland,United Kingdom,2021-09-12,54.7877,-6.4923,POINT(-6.4923 54.7877),217912,2453,,,,,"Northern Ireland, United Kingdom"
Montserrat,United Kingdom,2021-09-12,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),31,1,,,,,"Montserrat, United Kingdom"
Isle of Man,United Kingdom,2021-09-12,54.2361,-4.5481,POINT(-4.5481 54.2361),7008,38,,,,,"Isle of Man, United Kingdom"
England,United Kingdom,2021-09-12,52.3555,-1.1743,POINT(-1.1743 52.3555),6197654,117771,,,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-09-12,49.3723,-2.3644,POINT(-2.3644 49.3723),11029,95,,,,,"Channel Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-09-12,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-09-12,32.3078,-64.7505,POINT(-64.7505 32.3078),3465,35,,,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-09-12,18.2206,-63.0686,POINT(-63.0686 18.2206),312,0,,,,,"Anguilla, United Kingdom"
Channel Islands,United Kingdom,2021-09-11,49.3723,-2.3644,POINT(-2.3644 49.3723),11029,95,,,,,"Channel Islands, United Kingdom"
Scotland,United Kingdom,2021-09-11,56.4907,-4.2026,POINT(-4.2026 56.4907),498745,8242,,,,,"Scotland, United Kingdom"
Wales,United Kingdom,2021-09-11,52.1307,-3.7837,POINT(-3.7837 52.1307),303743,5726,,,,,"Wales, United Kingdom"
Isle of Man,United Kingdom,2021-09-11,54.2361,-4.5481,POINT(-4.5481 54.2361),6998,38,,,,,"Isle of Man, United Kingdom"
Unknown,United Kingdom,2021-09-11,,,,0,0,,,,,"Unknown, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-11,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2753,20,,,,,"Turks and Caicos Islands, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-09-11,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-09-11,54.7877,-6.4923,POINT(-6.4923 54.7877),216881,2447,,,,,"Northern Ireland, United Kingdom"
Montserrat,United Kingdom,2021-09-11,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),31,1,,,,,"Montserrat, United Kingdom"
Gibraltar,United Kingdom,2021-09-11,36.1408,-5.3536,POINT(-5.3536 36.1408),5419,97,,,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-11,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-09-11,52.3555,-1.1743,POINT(-1.1743 52.3555),6178293,117729,,,,,"England, United Kingdom"
Cayman Islands,United Kingdom,2021-09-11,19.3133,-81.2546,POINT(-81.2546 19.3133),729,2,,,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-09-11,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Bermuda,United Kingdom,2021-09-11,32.3078,-64.7505,POINT(-64.7505 32.3078),3465,35,,,,,"Bermuda, United Kingdom"
Anguilla,United Kingdom,2021-09-11,18.2206,-63.0686,POINT(-63.0686 18.2206),312,0,,,,,"Anguilla, United Kingdom"
Scotland,United Kingdom,2021-09-10,56.4907,-4.2026,POINT(-4.2026 56.4907),494457,8232,,,,,"Scotland, United Kingdom"
Montserrat,United Kingdom,2021-09-10,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),31,1,,,,,"Montserrat, United Kingdom"
Isle of Man,United Kingdom,2021-09-10,54.2361,-4.5481,POINT(-4.5481 54.2361),6980,38,,,,,"Isle of Man, United Kingdom"
Gibraltar,United Kingdom,2021-09-10,36.1408,-5.3536,POINT(-5.3536 36.1408),5414,97,,,,,"Gibraltar, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-10,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
England,United Kingdom,2021-09-10,52.3555,-1.1743,POINT(-1.1743 52.3555),6155149,117586,,,,,"England, United Kingdom"
Channel Islands,United Kingdom,2021-09-10,49.3723,-2.3644,POINT(-2.3644 49.3723),11029,95,,,,,"Channel Islands, United Kingdom"
Cayman Islands,United Kingdom,2021-09-10,19.3133,-81.2546,POINT(-81.2546 19.3133),726,2,,,,,"Cayman Islands, United Kingdom"
British Virgin Islands,United Kingdom,2021-09-10,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Anguilla,United Kingdom,2021-09-10,18.2206,-63.0686,POINT(-63.0686 18.2206),312,0,,,,,"Anguilla, United Kingdom"
Bermuda,United Kingdom,2021-09-10,32.3078,-64.7505,POINT(-64.7505 32.3078),3465,35,,,,,"Bermuda, United Kingdom"
Northern Ireland,United Kingdom,2021-09-10,54.7877,-6.4923,POINT(-6.4923 54.7877),215457,2444,,,,,"Northern Ireland, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-09-10,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-10,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2736,20,,,,,"Turks and Caicos Islands, United Kingdom"
Unknown,United Kingdom,2021-09-10,,,,0,0,,,,,"Unknown, United Kingdom"
Wales,United Kingdom,2021-09-10,52.1307,-3.7837,POINT(-3.7837 52.1307),303743,5726,,,,,"Wales, United Kingdom"
Channel Islands,United Kingdom,2021-09-09,49.3723,-2.3644,POINT(-2.3644 49.3723),10986,95,,,,,"Channel Islands, United Kingdom"
Bermuda,United Kingdom,2021-09-09,32.3078,-64.7505,POINT(-64.7505 32.3078),3273,35,,,,,"Bermuda, United Kingdom"
British Virgin Islands,United Kingdom,2021-09-09,18.4207,-64.64,POINT(-64.64 18.4207),2642,37,,,,,"British Virgin Islands, United Kingdom"
Anguilla,United Kingdom,2021-09-09,18.2206,-63.0686,POINT(-63.0686 18.2206),305,0,,,,,"Anguilla, United Kingdom"
Cayman Islands,United Kingdom,2021-09-09,19.3133,-81.2546,POINT(-81.2546 19.3133),723,2,,,,,"Cayman Islands, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-09-09,-51.7963,-59.5236,POINT(-59.5236 -51.7963),67,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Gibraltar,United Kingdom,2021-09-09,36.1408,-5.3536,POINT(-5.3536 36.1408),5409,97,,,,,"Gibraltar, United Kingdom"
Isle of Man,United Kingdom,2021-09-09,54.2361,-4.5481,POINT(-4.5481 54.2361),6952,38,,,,,"Isle of Man, United Kingdom"
Scotland,United Kingdom,2021-09-09,56.4907,-4.2026,POINT(-4.2026 56.4907),487654,8210,,,,,"Scotland, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-09-09,21.69400000000001,-71.7979,POINT(-71.7979 21.694),2736,20,,,,,"Turks and Caicos Islands, United Kingdom"
Northern Ireland,United Kingdom,2021-09-09,54.7877,-6.4923,POINT(-6.4923 54.7877),213770,2438,,,,,"Northern Ireland, United Kingdom"
Unknown,United Kingdom,2021-09-09,,,,0,0,,,,,"Unknown, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-09-09,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Wales,United Kingdom,2021-09-09,52.1307,-3.7837,POINT(-3.7837 52.1307),301276,5721,,,,,"Wales, United Kingdom"
Montserrat,United Kingdom,2021-09-09,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),31,1,,,,,"Montserrat, United Kingdom"
England,United Kingdom,2021-09-09,52.3555,-1.1743,POINT(-1.1743 52.3555),6129372,117472,,,,,"England, United Kingdom"
England,United Kingdom,2021-09-08,52.3555,-1.1743,POINT(-1.1743 52.3555),6102850,117334,,,,,"England, United Kingdom"
