province_state,date,confirmed,deaths,active
Oregon,2020-07-14,360,7,353
South Dakota,2020-07-14,400,1,399
Tennessee,2020-07-14,106,0,106
Washington,2020-07-14,4,0,4
West Virginia,2020-07-14,9,0,9
Wisconsin,2020-07-14,22,0,22
Wyoming,2020-07-14,43,0,43
Iowa,2020-07-14,1416,84,1332
Kansas,2020-07-14,17,0,17
Missouri,2020-07-14,22,1,21
Oregon,2020-07-14,184,10,174
Texas,2020-07-14,12,0,12
Connecticut,2020-07-14,1512,138,1374
Arkansas,2020-07-14,50,0,50
Texas,2020-07-14,69,0,69
Illinois,2020-07-14,55,2,53
Kentucky,2020-07-14,23,0,23
Louisiana,2020-07-14,1645,41,1604
Michigan,2020-07-14,619,28,591
Missouri,2020-07-14,27,0,27
New York,2020-07-14,151,8,143
Texas,2020-07-14,48,0,48
Arkansas,2020-07-14,89,0,89
Colorado,2020-07-14,641,5,636
Illinois,2020-07-14,24,0,24
Kansas,2020-07-14,2,0,2
Kentucky,2020-07-14,253,13,240
Nebraska,2020-07-14,0,0,0
North Dakota,2020-07-14,1,0,1
Ohio,2020-07-14,73,1,72
Oklahoma,2020-07-14,101,1,100
West Virginia,2020-07-14,39,1,38
Georgia,2020-07-14,73,1,72
Arkansas,2020-07-14,213,1,212
Ohio,2020-07-14,1208,70,1138
New Mexico,2020-07-14,13,0,13
California,2020-07-14,140576,3897,136679
Tennessee,2020-07-14,334,2,332
Virginia,2020-07-14,4458,99,4359
Iowa,2020-07-14,367,13,354
Virginia,2020-07-14,138,2,136
Nebraska,2020-07-14,0,0,0
Oklahoma,2020-07-14,48,0,48
Alabama,2020-07-14,497,23,474
Georgia,2020-07-14,1955,19,1936
Mississippi,2020-07-14,553,17,536
Texas,2020-07-14,3823,63,3760
Iowa,2020-07-14,35,4,31
Ohio,2020-07-14,3110,306,2804
Michigan,2020-07-14,3,0,3
Georgia,2020-07-14,182,4,178
New Mexico,2020-07-14,132,3,129
Virginia,2020-07-14,42,0,42
Pennsylvania,2020-07-14,3025,181,2844
Pennsylvania,2020-07-14,249,20,229
South Dakota,2020-07-14,82,1,81
Virginia,2020-07-14,193,1,192
Texas,2020-07-14,53,2,51
Iowa,2020-07-14,63,0,63
Kansas,2020-07-14,532,7,525
Kentucky,2020-07-14,23,3,20
Minnesota,2020-07-14,359,2,357
Nevada,2020-07-14,147,2,145
Michigan,2020-07-14,9,0,9
Michigan,2020-07-14,7922,929,6993
Alabama,2020-07-14,227,9,218
Georgia,2020-07-14,140,10,130
Illinois,2020-07-14,254,22,232
Missouri,2020-07-14,28,0,28
North Carolina,2020-07-14,336,3,333
Tennessee,2020-07-14,652,7,645
Illinois,2020-07-14,72,3,69
California,2020-07-14,1003,9,994
Alabama,2020-07-14,2729,9,2720
Arkansas,2020-07-14,224,1,223
Florida,2020-07-14,382,4,378
Georgia,2020-07-14,184,4,180
Idaho,2020-07-14,75,0,75
Illinois,2020-07-14,1285,71,1214
Indiana,2020-07-14,685,64,621
Iowa,2020-07-14,57,2,55
Kentucky,2020-07-14,210,1,209
Louisiana,2020-07-14,441,4,437
Mississippi,2020-07-14,1560,39,1521
Missouri,2020-07-14,7,0,7
Montana,2020-07-14,34,1,33
Nebraska,2020-07-14,387,4,383
New York,2020-07-14,376,17,359
North Carolina,2020-07-14,18,0,18
Ohio,2020-07-14,230,9,221
Tennessee,2020-07-14,395,2,393
Texas,2020-07-14,137,0,137
Virginia,2020-07-14,49,1,48
Kentucky,2020-07-14,7,0,7
Iowa,2020-07-14,120,17,103
Minnesota,2020-07-14,13,1,12
Ohio,2020-07-14,1996,239,1757
Oklahoma,2020-07-14,15,1,14
Oregon,2020-07-14,434,3,431
Virginia,2020-07-14,1494,19,1475
Virginia,2020-07-14,461,6,455
Florida,2020-07-14,5419,140,5279
Michigan,2020-07-14,29,0,29
Wisconsin,2020-07-14,162,1,161
Wisconsin,2020-07-14,304,1,303
Alabama,2020-07-14,364,11,353
Arizona,2020-07-14,84233,1198,83035
Missouri,2020-07-14,6,0,6
California,2020-07-14,3888,38,3850
Wisconsin,2020-07-14,121,3,118
Alabama,2020-07-14,332,14,318
Arkansas,2020-07-14,14,0,14
Florida,2020-07-14,1774,15,1759
Georgia,2020-07-14,101,3,98
Illinois,2020-07-14,79,0,79
Indiana,2020-07-14,12192,697,11495
Iowa,2020-07-14,85,0,85
Kansas,2020-07-14,20,1,19
Kentucky,2020-07-14,68,0,68
Mississippi,2020-07-14,356,12,344
Missouri,2020-07-14,36,0,36
Ohio,2020-07-14,2757,39,2718
Oregon,2020-07-14,1939,56,1883
South Carolina,2020-07-14,339,10,329
Tennessee,2020-07-14,100,4,96
Texas,2020-07-14,64,2,62
West Virginia,2020-07-14,113,2,111
California,2020-07-14,34,1,33
South Carolina,2020-07-14,341,4,337
Michigan,2020-07-14,96,11,85
Wisconsin,2020-07-14,53,1,52
Alabama,2020-07-14,2090,12,2078
Illinois,2020-07-14,13,0,13
Indiana,2020-07-14,574,12,562
Iowa,2020-07-14,1105,19,1086
Kansas,2020-07-14,6,0,6
Kentucky,2020-07-14,74,2,72
Minnesota,2020-07-14,16,0,16
Mississippi,2020-07-14,307,4,303
Oklahoma,2020-07-14,47,0,47
South Dakota,2020-07-14,5,0,5
Tennessee,2020-07-14,132,2,130
West Virginia,2020-07-14,68,0,68
Florida,2020-07-14,2900,42,2858
Indiana,2020-07-14,26,0,26
Kentucky,2020-07-14,12,0,12
Minnesota,2020-07-14,176,5,171
North Carolina,2020-07-14,175,6,169
Texas,2020-07-14,26,1,25
Virginia,2020-07-14,117,1,116
Illinois,2020-07-14,28,0,28
Kentucky,2020-07-14,40,1,39
Michigan,2020-07-14,79,0,79
Texas,2020-07-14,36,0,36
Washington,2020-07-14,65,1,64
West Virginia,2020-07-14,26,0,26
Illinois,2020-07-14,16,0,16
Texas,2020-07-14,382,5,377
Alaska,2020-07-14,158,2,156
Virginia,2020-07-14,7,0,7
Hawaii,2020-07-14,135,6,129
Tennessee,2020-07-14,513,3,510
Texas,2020-07-14,776,7,769
Oklahoma,2020-07-14,139,5,134
Oklahoma,2020-07-14,261,4,257
South Dakota,2020-07-14,17,1,16
South Carolina,2020-07-14,51,2,49
Kentucky,2020-07-14,210,3,207
Kentucky,2020-07-14,18,0,18
Texas,2020-07-14,25,0,25
Oklahoma,2020-07-14,631,12,619
Missouri,2020-07-14,743,1,742
Illinois,2020-07-14,108,15,93
North Carolina,2020-07-14,332,2,330
West Virginia,2020-07-14,11,0,11
Georgia,2020-07-14,165,8,157
Illinois,2020-07-14,2309,103,2206
North Dakota,2020-07-14,9,1,8
Georgia,2020-07-14,85,1,84
North Dakota,2020-07-14,8,0,8
Oklahoma,2020-07-14,88,1,87
Pennsylvania,2020-07-14,20,1,19
North Dakota,2020-07-14,39,0,39
New Mexico,2020-07-14,3679,192,3487
Illinois,2020-07-14,334,15,319
Kentucky,2020-07-14,29,1,28
North Dakota,2020-07-14,12,0,12
Texas,2020-07-14,2744,19,2725
Minnesota,2020-07-14,102,0,102
Tennessee,2020-07-14,307,19,288
Texas,2020-07-14,1,0,1
Tennessee,2020-07-14,126,1,125
Kansas,2020-07-14,90,0,90
Nebraska,2020-07-14,3,0,3
South Dakota,2020-07-14,6,0,6
Kansas,2020-07-14,30,0,30
Kentucky,2020-07-14,35,2,33
South Dakota,2020-07-14,54,1,53
Montana,2020-07-14,4,0,4
North Carolina,2020-07-14,15680,163,15517
Virginia,2020-07-14,263,29,234
Michigan,2020-07-14,40,2,38
Ohio,2020-07-14,614,32,582
Texas,2020-07-14,360,3,357
Minnesota,2020-07-14,66,1,65
Ohio,2020-07-14,13,0,13
Tennessee,2020-07-14,40,0,40
South Dakota,2020-07-14,9,0,9
Illinois,2020-07-14,32,0,32
Texas,2020-07-14,14,0,14
California,2020-07-14,146,0,146
Kentucky,2020-07-14,14,0,14
Michigan,2020-07-14,49,0,49
Wisconsin,2020-07-14,10,0,10
California,2020-07-14,2183,13,2170
Illinois,2020-07-14,29,0,29
Kentucky,2020-07-14,31,0,31
Missouri,2020-07-14,7,0,7
New Jersey,2020-07-14,7807,603,7204
North Dakota,2020-07-14,9,0,9
Ohio,2020-07-14,304,10,294
Pennsylvania,2020-07-14,186,6,180
West Virginia,2020-07-14,63,0,63
Georgia,2020-07-14,259,3,256
Nebraska,2020-07-14,39,0,39
New Hampshire,2020-07-14,432,19,413
Colorado,2020-07-14,153,0,153
Kentucky,2020-07-14,17,2,15
Indiana,2020-07-14,197,2,195
Kansas,2020-07-14,57,0,57
Ohio,2020-07-14,520,31,489
Florida,2020-07-14,69803,1175,68628
Michigan,2020-07-14,4115,68,4047
Connecticut,2020-07-14,1341,187,1154
Massachusetts,2020-07-14,24600,1923,22677
New Jersey,2020-07-14,17089,1379,15710
Virginia,2020-07-14,17,0,17
Michigan,2020-07-14,192,9,183
Texas,2020-07-14,1194,21,1173
Pennsylvania,2020-07-14,74,1,73
Texas,2020-07-14,149,1,148
Minnesota,2020-07-14,40,2,38
Arkansas,2020-07-14,291,2,289
Georgia,2020-07-14,61,0,61
Missouri,2020-07-14,28,0,28
Iowa,2020-07-14,52,0,52
Texas,2020-07-14,7,0,7
Wisconsin,2020-07-14,14399,402,13997
South Dakota,2020-07-14,10,0,10
Colorado,2020-07-14,17,0,17
Nevada,2020-07-14,6,0,6
