province_state,date,confirmed,deaths,active
New Hampshire,2020-07-14,94,1,93
Arizona,2020-07-14,218,2,216
Kansas,2020-07-14,7,0,7
North Carolina,2020-07-14,10,0,10
Tennessee,2020-07-14,59,0,59
Colorado,2020-07-14,29,1,28
North Dakota,2020-07-14,461,4,457
Vermont,2020-07-14,13,0,13
Michigan,2020-07-14,99,5,94
Montana,2020-07-14,6,0,6
Arkansas,2020-07-14,62,0,62
Indiana,2020-07-14,334,26,308
Kansas,2020-07-14,66,2,64
Kentucky,2020-07-14,70,5,65
Louisiana,2020-07-14,136,2,134
Minnesota,2020-07-14,31,0,31
Nebraska,2020-07-14,0,0,0
New Mexico,2020-07-14,41,0,41
North Dakota,2020-07-14,4,0,4
Oklahoma,2020-07-14,3,0,3
Oregon,2020-07-14,1,0,1
South Dakota,2020-07-14,18,0,18
Washington,2020-07-14,866,8,858
West Virginia,2020-07-14,21,0,21
Wisconsin,2020-07-14,218,13,205
North Carolina,2020-07-14,975,25,950
Michigan,2020-07-14,107,14,93
Kentucky,2020-07-14,328,21,307
Kansas,2020-07-14,41,0,41
Texas,2020-07-14,133,4,129
Washington,2020-07-14,52,0,52
Kentucky,2020-07-14,150,11,139
Texas,2020-07-14,754,7,747
Virginia,2020-07-14,93,4,89
Kansas,2020-07-14,1,0,1
Nebraska,2020-07-14,5,0,5
Kentucky,2020-07-14,13,1,12
Wisconsin,2020-07-14,110,1,109
Wisconsin,2020-07-14,43,0,43
West Virginia,2020-07-14,71,3,68
Alabama,2020-07-14,201,9,192
Arkansas,2020-07-14,154,0,154
Georgia,2020-07-14,123,10,113
Illinois,2020-07-14,11,0,11
Indiana,2020-07-14,200,32,168
Iowa,2020-07-14,31,0,31
Mississippi,2020-07-14,118,10,108
Missouri,2020-07-14,492,9,483
New York,2020-07-14,267,18,249
North Carolina,2020-07-14,237,3,234
Ohio,2020-07-14,380,9,371
Pennsylvania,2020-07-14,72,0,72
Tennessee,2020-07-14,163,2,161
Virginia,2020-07-14,87,2,85
Arizona,2020-07-14,33,1,32
Virginia,2020-07-14,382,9,373
Kentucky,2020-07-14,45,0,45
South Carolina,2020-07-14,7464,106,7358
Kansas,2020-07-14,11,0,11
South Carolina,2020-07-14,845,7,838
Oklahoma,2020-07-14,69,7,62
Texas,2020-07-14,837,15,822
South Dakota,2020-07-14,6,0,6
Mississippi,2020-07-14,634,12,622
North Dakota,2020-07-14,2,0,2
Texas,2020-07-14,658,2,656
Illinois,2020-07-14,196,5,191
Iowa,2020-07-14,48,0,48
Missouri,2020-07-14,22,1,21
Tennessee,2020-07-14,67,2,65
New Mexico,2020-07-14,20,0,20
Texas,2020-07-14,1044,3,1041
Ohio,2020-07-14,83,4,79
North Carolina,2020-07-14,3760,128,3632
Florida,2020-07-14,101,0,101
